n,method,matrix,residual,solution_error,iterations
3,Gaussian,Random,1.790180836524724e-15,4.965068306494546e-16,-
4,Gaussian,Random,2.6645352591003757e-15,1.0436686958930981e-14,-
5,Gaussian,Random,7.460830893718047e-15,2.082963028648268e-15,-
6,Gaussian,Random,3.9175616027160037e-14,5.7965976384218246e-15,-
7,Gaussian,Random,4.315212818360409e-14,7.414428119052019e-15,-
8,Gaussian,Random,2.8906762424307514e-14,4.471318996302435e-15,-
9,Gaussian,Random,1.2932072993408848e-14,1.1640941215167996e-14,-
10,Gaussian,Random,3.033600664420507e-13,5.033107644328035e-14,-
11,Gaussian,Random,2.1269972476339744e-14,5.443569653176061e-14,-
12,Gaussian,Random,3.487726359465146e-14,2.9681392619094764e-14,-
13,Gaussian,Random,4.054670677486847e-14,1.6181095909224178e-14,-
14,Gaussian,Random,1.1369479982355631e-12,1.7120074627518174e-13,-
15,Gaussian,Random,1.427498913158887e-12,6.593822321233158e-13,-
16,Gaussian,Random,1.0845827767310464e-13,2.153002701992854e-14,-
17,Gaussian,Random,7.025335501949128e-13,5.447657356490272e-13,-
18,Gaussian,Random,1.8272962413163818e-13,4.2191688616848195e-14,-
19,Gaussian,Random,2.5130976603078286e-13,1.1820403300949492e-13,-
20,Gaussian,Random,1.8999027046312254e-13,2.716464148624156e-14,-
21,Gaussian,Random,2.4420667140472836e-13,3.6637191596634205e-14,-
22,Gaussian,Random,1.9611906682188548e-13,6.967293025297354e-14,-
23,Gaussian,Random,1.0892142291048672e-13,1.1684473641180252e-13,-
24,Gaussian,Random,1.2848070116024928e-11,1.754894360156339e-11,-
25,Gaussian,Random,5.187273736638269e-13,6.205342290003078e-14,-
26,Gaussian,Random,1.1132696484752425e-12,1.3884007570947055e-12,-
27,Gaussian,Random,6.293360773965185e-11,3.539493537403442e-10,-
28,Gaussian,Random,2.5055217657028985e-12,7.37583758283449e-13,-
29,Gaussian,Random,6.125688150769433e-12,1.9828366955137534e-12,-
30,Gaussian,Random,8.888415581542035e-13,9.29757264603594e-14,-
31,Gaussian,Random,2.3764775058803694e-12,4.1671916201548657e-13,-
32,Gaussian,Random,6.135932577908901e-13,1.2711672708246186e-12,-
33,Gaussian,Random,1.1152002333115068e-12,5.832941452990384e-13,-
34,Gaussian,Random,8.123944233776196e-13,1.1184377051873656e-13,-
35,Gaussian,Random,4.3771363970888593e-11,8.853054492223645e-12,-
36,Gaussian,Random,9.890802147897539e-13,1.6369254929163316e-13,-
37,Gaussian,Random,4.98131919150303e-13,1.416267784351712e-13,-
38,Gaussian,Random,1.3188169536552718e-12,2.8349759607992886e-13,-
39,Gaussian,Random,1.797841018409134e-12,4.376252862373309e-13,-
40,Gaussian,Random,2.7876232457648434e-12,1.0342596069726956e-12,-
41,Gaussian,Random,1.658229466373783e-11,4.6624767034417465e-12,-
42,Gaussian,Random,8.55198706411431e-13,3.261384399646946e-13,-
43,Gaussian,Random,1.5244448700957854e-12,2.232586930358129e-12,-
44,Gaussian,Random,7.40142473654029e-12,1.3552947884584999e-12,-
45,Gaussian,Random,6.925132321434193e-12,7.005201395548311e-13,-
46,Gaussian,Random,4.4953499221925023e-13,2.583749225899468e-13,-
47,Gaussian,Random,1.6034888073292084e-12,7.580530048932024e-13,-
48,Gaussian,Random,1.630858578646376e-11,1.5407079698146523e-11,-
49,Gaussian,Random,8.899713133905175e-13,9.05522836360666e-14,-
50,Gaussian,Random,2.2536846598661713e-12,2.567854895737781e-13,-
