n,method,matrix,residual,solution_error,iterations
3,Gaussian,DiagDominant,2.5121479338940403e-15,3.3306690738754696e-16,-
3,Jacobi,DiagDominant,4.0270827566014794e-06,3.004921271573727e-07,39
3,Seidel,DiagDominant,2.04625058306078e-06,4.1663387544958986e-07,14
4,Gaussian,DiagDominant,0.0,0.0,-
4,Jacobi,DiagDominant,4.837857251025345e-06,3.738969016291758e-07,24
4,Seidel,DiagDominant,7.077114743550304e-07,9.079237236111157e-08,17
5,Gaussian,DiagDominant,5.197930934883577e-15,3.8459253727671276e-16,-
5,Jacobi,DiagDominant,2.9217947255786844e-06,1.6934465384139242e-07,23
5,Seidel,DiagDominant,1.7854116546334852e-06,1.7954733805471332e-07,13
6,Gaussian,DiagDominant,5.329070518200751e-15,3.1401849173675503e-16,-
6,Jacobi,DiagDominant,4.076684179881023e-06,6.015727639522313e-07,21
6,Seidel,DiagDominant,1.588416972713715e-06,1.90012039177726e-07,11
7,Gaussian,DiagDominant,8.702335715267317e-15,5.551115123125783e-16,-
7,Jacobi,DiagDominant,5.542963061872977e-06,6.060616881637027e-07,20
7,Seidel,DiagDominant,1.88605473412328e-06,1.6484175135738386e-07,14
8,Gaussian,DiagDominant,1.0048591735576161e-14,4.577566798522237e-16,-
8,Jacobi,DiagDominant,5.197741114053999e-06,4.467862067150703e-07,19
8,Seidel,DiagDominant,2.697741555579994e-06,1.7613526392255267e-07,11
9,Gaussian,DiagDominant,1.2932072993408848e-14,5.20740757162067e-16,-
9,Jacobi,DiagDominant,2.5329463261682293e-06,1.3062586927513313e-07,14
9,Seidel,DiagDominant,3.5591887151462165e-07,1.4579820255768453e-08,10
10,Gaussian,DiagDominant,2.4613922385709617e-14,7.850462293418876e-16,-
10,Jacobi,DiagDominant,5.510404338154206e-06,2.0629272846203146e-07,13
10,Seidel,DiagDominant,1.913937620254353e-06,7.8631046249107e-08,9
11,Gaussian,DiagDominant,2.6347629809804342e-14,8.233634315563857e-16,-
